name,city,source,url,phone,address,notes,has_website,has_app,offers_pickup,offers_delivery,delivery_platforms,uses_doordash_marketing,uses_chownow
Nancy's Hustle,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/nancys-hustle-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(346) 571-7931,"2704 Polk St, Houston, TX, 77003","New American, Tapas/Small Plates, Modern European",,,,,,,
Traveler's Table,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/travelers-table-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 409-5785,"520 Westheimer Rd, Houston, TX, 77006","Cocktail Bars, New American, Breakfast & Brunch",,,no,yes,Yelp,,
The Breakfast Klub,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/the-breakfast-klub-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 528-8561,"3711 Travis St, Houston, TX, 77002","Breakfast & Brunch, Southern, American",,,yes,yes,Yelp,,
Rodeo Goat,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/rodeo-goat-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 853-9480,"2105 Dallas St, Houston, TX, 77003","Burgers, Bars, New American",,,no,yes,Yelp,,
Truth BBQ,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/truth-bbq-houston-3?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 835-0001,"110 S Heights Blvd, Houston, TX, 77007","Barbeque, Southern",,,,,,,
The Pit Room - Museum District,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/the-pit-room-museum-district-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 888-1929,"1201 Richmond Ave, Houston, TX, 77006","Barbeque, Southern",,,no,yes,Yelp,,
Bludorn,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/bludorn-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 999-0146,"807 Taft St, Houston, TX, 77019",New American,,,,,,,
Xochi,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/xochi-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 400-3330,"1777 Walker St, Ste A, Houston, TX, 77010","Mexican, Breakfast & Brunch, Bars",,,no,yes,Yelp,,
The Original Ninfa's on Navigation,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/the-original-ninfas-on-navigation-houston-3?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 228-1175,"2704 Navigation Blvd, Houston, TX, 77003","Mexican, Tex-Mex",,,yes,yes,Yelp,,
Huynh Restaurant,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/huynh-restaurant-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 224-8964,"912 St Emanuel St, Houston, TX, 77003",Vietnamese,,,yes,yes,Yelp,,
Pinkerton's Barbecue - Heights,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/pinkertons-barbecue-heights-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 802-2000,"1504 Airline Dr, Houston, TX, 77009",Barbeque,,,no,yes,Yelp,,
Potente,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/potente-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 237-1515,"1515 Texas Ave, Houston, TX, 77002","Italian, Seafood",,,no,yes,Yelp,,
Thai Cafe,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/thai-cafe-houston-3?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 228-8424,"917 Franklin St, Ste 101, Houston, TX, 77002",Thai,,,yes,yes,Yelp,,
The Gypsy Poet,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/the-gypsy-poet-houston-4?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 888-8663,"2404 Austin St, Houston, TX, 77004","Pizza, Beer Bar, Wine Bars",,,yes,yes,Yelp,,
Cielito Cafe,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/cielito-cafe-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 409-5253,"1915 Dunlavy St, Houston, TX, 77006","Breakfast & Brunch, Mexican",,,,,,,
Phoenicia Specialty Foods,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/phoenicia-specialty-foods-houston-3?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 360-2222,"1001 Austin St, Houston, TX, 77010","Specialty Food, Grocery, Caterers",,,yes,yes,Yelp,,
BCN Taste & Tradition,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/bcn-taste-and-tradition-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 834-3411,"4210 Roseland St, Houston, TX, 77006","Catalan, Spanish",,,yes,yes,Yelp,,
Kasra Persian Grill,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/kasra-persian-grill-no-title-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 493-2414,"2514 Times Blvd, Houston, TX, 77005","Persian/Iranian, Mediterranean",,,yes,yes,Yelp,,
Hu's Cooking,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/hus-cooking-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 660-0020,"2502 W Holcombe Blvd, Houston, TX, 77030","Chinese, Seafood, Noodles",,,yes,yes,Yelp,,
Le Jardinier,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/le-jardinier-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 714-3015,"5500 Main St, Ste 122, Houston, TX, 77004","French, Cocktail Bars",,,no,yes,Yelp,,
Street Food Thai Market,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/street-food-thai-market-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(346) 406-3177,"1010 W Cavalcade St, Unit D, Houston, TX, 77009","Thai, Laotian",,,no,yes,Yelp,,
Kokoro Sushi and Yakitori,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/kokoro-sushi-and-yakitori-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(409) 498-5575,"409 Travis St, Ste 366, Houston, TX, 77002","Sushi Bars, Izakaya",,,no,yes,Yelp,,
Kenny & Ziggy's New York Delicatessen,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/kenny-and-ziggys-new-york-delicatessen-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 871-8883,"1743 Post Oak Blvd, Houston, TX, 77056","Delis, American, Breakfast & Brunch",,,yes,yes,Yelp,,
